name,title,duration
d_rCfpFxVCg,"精彩片段》認知作戰!台海有事→全球有事?習近平點名賴清德?!不自由毋寧死!中共""獨裁集權""!香港馬照跑舞照跳?!",309.0
iG2MR3pdY80,"精彩片段》世界的老大!川普贏大選重返白宮!將讓美國再次偉大!大勝利!新川普時代到來!金融股慶賀""罕見巨大漲幅""!",455.0
eCp8ZHq_uds,[Private video],
pOQKI7xzvVg,"精彩片段》""AI推動""台股趨勢樂觀?中國救市""國進民退""雪上加霜?再創新高!共創幸福!台灣第二大城 台中市人口破285萬!",424.0
f74QqUwemsk,"精彩片段》""減碳""為首要任務!供應商若不配合將從供應鏈""剔除""?!外銷訂單連7紅!半導體業需求暢旺 支撐接單成長動能!",336.0
qfBY7sEQW40,"精彩片段》山寨大國?特斯拉養大中國電動車?深耕台灣結果不一樣?中國電動車""打趴""全球大車廠!沈國榮.張金鋒獨家解析!",404.0
EO0QGrb9Y6c,[Private video],
i9P3x4pnkB0,"精彩片段》沒救!經濟惡化!中國人行""救市方案"" 借錢買股票沒人敢拚?景氣低迷?中國.香港股市""觸底反彈""曇花一現?買黃金自保?",345.0
2rOxMr7zxTo,精彩片段》大浪奔馳！半導體競爭新賽局 「誰掌握AI」誰就控制全世界！通膨降溫！Fed降息2碼！有利股市？美國經濟「完勝」中國！,616.0
mXipRogIpjQ,精彩片段》低價車打趴全球？中國大規模資金外逃？關稅貿易戰開打？扯！奧步！中國停止台灣34項農產品零關稅！以商逼政！,457.0
1SPP9388_Hs,"精彩片段》全球焦點!烏克蘭戰力猛""攻進莫斯科""!中東將有巨大變局?美大選民調拉鋸戰?川賀首辯論誰勝出?牽動美股未來走向?",1063.0
mO3PQ53sySM,"精彩片段》AI發展賽道上 ""綠電產業""欣欣向榮 投資台灣成顯學!股價漲太快 業績不符預期 預告市場即將重新整理訊號?",609.0
YFcpoPQSCo0,"精彩片段》AI發展賽道上 ""綠電產業""欣欣向榮 投資台灣成顯學!股價漲太快 業績不符預期 預告市場即將重新整理訊號?",609.0
OTl3VXeOA-Q,精彩片段》用數字看台灣 從台灣看天下 陳奕光.吳金榮解析全球經濟巨變!台灣實力不斷向擴張!台股面臨22000點保衛戰?美日利差交易?,229.0
YUp9PkcPbbk,精彩片段》烏克蘭大逆襲!俄羅斯庫爾斯士兵主動投降!普丁顏面無光?民怨?孟加拉哈西娜倉皇逃跑!新總理尤努斯 能夠改革國家?,279.0
R4GFxjnkp7Q,"精彩片段》台灣的驕傲!史無前例 ""麟洋配""創羽球男雙""金牌二連霸全民嗨翻!台北101點亮台北夜空 感謝""麟洋配""為國爭光",561.0
NWsfJfrUM60,精彩片段》童子賢挺身擁核後的轉變 談核電不能只是看到電價!日圓回升了?聯準會9月降息? 隱藏的地緣政治經濟戰..,402.0
fXsbXzlRZR8,精彩片段》台股美股正在回檔大修正 台積電基本面沒太大影響？美科技7雄被川普嚇歪？ 拜登退選賀錦麗真是那個人？,452.0
aNMPuH946nw,精彩片段》台灣錢淹天花板！超額儲蓄破4兆 台積億元富翁5千人！台積電讓美科技七雄變驚奇8 未來世界算力超越石油？,764.0
rTvswLTvbDI,精彩片段》澎湖漁船遭強行登檢押走..中國報復賴清德拿民開刀？黃仁勳挺台中國不爽了？ AI耗電利大於弊綠電不能停？,366.0
d7nKFvMFioI,精彩片段》黃仁勳自許厲害台灣大使老謝籲判斷趨勢要懂史觀!中國資金不斷外逃 老謝:台股2萬點站久會追上德國!,280.0
T6gEv6J7Gfs,精彩片段》黃仁勳不斷強調台灣重要性 AI掀起未來產業新革命? 台灣是珍貴夥伴集中地? 黃仁勳幫台灣頂住中國壓力..,488.0
tBK7utVbCKA,精彩片段》沒站好唱中國國歌被抓走..台灣不能變成5年前香港?唏噓?曹興誠嗆國民黨:受台灣養育70年!卻聯共制台?,253.0
r5UYzatNnVE,精彩片段》蘋果亞馬遜大廠爭相來台 不只AI台醫療費用也上榜！中國懲戒台獨新規最重判死 李顯龍這話警世台灣！,433.0
R-8c4VecSgA,精彩片段》謝金河:股市有極敏感大鼻子 黃仁勳到底有多愛台灣?輝達市值超越德國股市? 黃仁勳用美食名言狂秀台灣!,254.0
TpiaMTZasTY,精彩片段》中共軍演!國會改革法!台藝人被統一!政壇大事不斷..蔡英文8年台股漲161% 賴清德挺覆議釋憲擋國會壓力?,320.0
